DAMAGE MillionUSD;ExpOuTh
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
25;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
75;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
125;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
175;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
225;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
275;EXP
325;EXP
325;EXP
325;EXP
375;EXP
375;EXP
375;EXP
375;EXP
425;EXP
425;EXP
425;EXP
425;EXP
475;EXP
475;EXP
475;EXP
475;EXP
475;EXP
475;EXP
525;EXP
525;EXP
525;EXP
525;EXP
525;EXP
525;EXP
575;EXP
675;EXP
675;EXP
675;EXP
725;EXP
725;EXP
775;EXP
775;EXP
775;EXP
825;EXP
875;EXP
925;EXP
975;EXP
975;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
1050;EXP
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
25;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
75;TH
125;TH
125;TH
125;TH
125;TH
125;TH
125;TH
125;TH
125;TH
125;TH
125;TH
